ai0,ai1,port0/line0,port0/line1,port0/line2,port0/line3
-1.573996914963777,-2.122300570094996,0.0,0.0,0.0,1.0
-1.5892806405687132,-2.1324926765612453,0.0,0.0,0.0,1.0
-1.5892806405687132,-2.1172045168618716,0.0,0.0,0.0,1.0
-1.5638077645604866,-2.0662439845306277,0.0,0.0,0.0,1.0
-1.507767437342384,-1.9847071328006347,0.0,0.0,0.0,1.0
-1.4313488093177007,-1.8827860681381452,0.0,0.0,0.0,1.0
-1.3498356060913714,-1.7859610567087802,0.0,0.0,0.0,1.0
-1.2683224028650422,-1.6942320985125399,0.0,0.0,0.0,1.0
-1.1969983500420032,-1.6279834064819223,0.0,0.0,0.0,1.0
-1.1511471732271925,-1.5872149806169258,0.0,0.0,0.0,1.0
-1.115485146815674,-1.5617347144513047,0.0,0.0,0.0,1.0
-1.1002014212107376,-1.5617347144513047,0.0,0.0,0.0,1.0
-1.1052959964123836,-1.5872149806169258,0.0,0.0,0.0,1.0
-1.1511471732271925,-1.6636557791137943,0.0,0.0,0.0,1.0
-1.2275658012518775,-1.7604807905431592,0.0,0.0,0.0,1.0
-1.319268154881497,-1.8674979084387715,0.0,0.0,0.0,1.0
-1.4109705085111184,-1.9745150263343856,0.0,0.0,0.0,1.0
-1.4873891365358016,-2.061147931297503,0.0,0.0,0.0,1.0
-1.5434294637539043,-2.1172045168618716,0.0,0.0,0.0,1.0
-1.573996914963777,-2.13758872979437,0.0,0.0,0.0,1.0
-1.5892806405687132,-2.147780836260619,0.0,0.0,0.0,1.0
-1.6045643661736513,-2.147780836260619,0.0,0.0,0.0,1.0
-1.6045643661736513,-2.1324926765612453,0.0,0.0,0.0,1.0
-1.579091490165423,-2.091724250696249,0.0,0.0,0.0,1.0
-1.523051162947322,-2.0203795054325067,0.0,0.0,0.0,1.0
-1.4415379597209927,-1.9337466004693908,0.0,0.0,0.0,1.0
-1.3498356060913714,-1.847113695506275,0.0,0.0,0.0,1.0
-1.2632278276633961,-1.765576843776282,0.0,0.0,0.0,1.0
-1.1969983500420032,-1.7146163114450381,0.0,0.0,0.0,1.0
-1.1562417484288385,-1.6840399920462907,0.0,0.0,0.0,1.0
-1.1307688724206102,-1.6738478855800416,0.0,0.0,0.0,1.0
-1.115485146815674,-1.6636557791137943,0.0,0.0,0.0,1.0
-1.1103905716140279,-1.6636557791137943,0.0,0.0,0.0,1.0
-1.1307688724206102,-1.6891360452794153,0.0,0.0,0.0,1.0
-1.1817146244370669,-1.740096577610661,0.0,0.0,0.0,1.0
-1.2581332524617501,-1.8165373761075276,0.0,0.0,0.0,1.0
-1.3447410308897254,-1.908266334303768,0.0,0.0,0.0,1.0
-1.4313488093177007,-1.9948992392668838,0.0,0.0,0.0,1.0
-1.4975782869390937,-2.0713400377637505,0.0,0.0,0.0,1.0
-1.5485240389555486,-2.1273966233281207,0.0,0.0,0.0,1.0
-1.579091490165423,-2.1681650491931173,0.0,0.0,0.0,1.0
-1.5994697909720053,-2.1936453153587383,0.0,0.0,0.0,1.0
-1.6045643661736513,-2.1936453153587383,0.0,0.0,0.0,1.0
-1.579091490165423,-2.1528768894937436,0.0,0.0,0.0,1.0
-1.51286201254403,-2.076436090996875,0.0,0.0,0.0,1.0
-1.4262542341160547,-1.9796110795675101,0.0,0.0,0.0,1.0
-1.3294573052847891,-1.8776900149050206,0.0,0.0,0.0,1.0
-1.2428495268568138,-1.7859610567087802,0.0,0.0,0.0,1.0
-1.1817146244370669,-1.7248084179112873,0.0,0.0,0.0,1.0
-1.1511471732271925,-1.6993281517456644,0.0,0.0,0.0,1.0
-1.125674297218966,-1.6840399920462907,0.0,0.0,0.0,1.0
-1.1103905716140279,-1.6789439388131662,0.0,0.0,0.0,1.0
-1.1103905716140279,-1.6891360452794153,0.0,0.0,0.0,1.0
-1.1307688724206102,-1.7146163114450381,0.0,0.0,0.0,1.0
-1.1817146244370669,-1.7604807905431592,0.0,0.0,0.0,1.0
-1.2581332524617501,-1.836921589040026,0.0,0.0,0.0,1.0
-1.3396464556880794,-1.9184584407700171,0.0,0.0,0.0,1.0
-1.4160650837127644,-1.9999952925000084,0.0,0.0,0.0,1.0
-1.4771999861325114,-2.0662439845306277,0.0,0.0,0.0,1.0
-1.51286201254403,-2.112108463628747,0.0,0.0,0.0,1.0
-1.5383348885522583,-2.1528768894937436,0.0,0.0,0.0,1.0
-1.5536186141571946,-2.1885492621256137,0.0,0.0,0.0,1.0
-1.5587131893588406,-2.198741368591863,0.0,0.0,0.0,1.0
-1.5383348885522583,-2.1783571556593646,0.0,0.0,0.0,1.0
-1.4822945613341574,-2.1172045168618716,0.0,0.0,0.0,1.0
-1.4058759333094724,-2.030571611898756,0.0,0.0,0.0,1.0
-1.324362730083143,-1.9337466004693908,0.0,0.0,0.0,1.0
-1.2428495268568138,-1.8522097487393996,0.0,0.0,0.0,1.0
-1.1766200492354209,-1.7910571099419048,0.0,0.0,0.0,1.0
-1.1358634476222562,-1.7604807905431592,0.0,0.0,0.0,1.0
-1.12057972201732,-1.740096577610661,0.0,0.0,0.0,1.0
-1.1103905716140279,-1.7299044711444118,0.0,0.0,0.0,1.0
-1.115485146815674,-1.7299044711444118,0.0,0.0,0.0,1.0
-1.1511471732271925,-1.7604807905431592,0.0,0.0,0.0,1.0
-1.2173766508485855,-1.8216334293406522,0.0,0.0,0.0,1.0
-1.2988898540749148,-1.9031702810706435,0.0,0.0,0.0,1.0
-1.395686782906182,-1.9898031860337593,0.0,0.0,0.0,1.0
-1.4771999861325114,-2.0713400377637505,0.0,0.0,0.0,1.0
-1.5383348885522583,-2.1273966233281207,0.0,0.0,0.0,1.0
-1.568902339762131,-2.1681650491931173,0.0,0.0,0.0,1.0
-1.584186065367069,-2.198741368591863,0.0,0.0,0.0,1.0
-1.5892806405687132,-2.2293176879906103,0.0,0.0,0.0,1.0
-1.573996914963777,-2.2293176879906103,0.0,0.0,0.0,1.0
-1.5332403133506123,-2.198741368591863,0.0,0.0,0.0,1.0
-1.4721054109308653,-2.112108463628747,0.0,0.0,0.0,1.0
-1.395686782906182,-1.9999952925000084,0.0,0.0,0.0,1.0
-1.319268154881497,-1.8776900149050206,0.0,0.0,0.0,1.0
-1.2632278276633961,-1.7808650034756557,0.0,0.0,0.0,1.0
-1.2326603764535236,-1.7146163114450381,0.0,0.0,0.0,1.0
-1.2224712260502315,-1.6840399920462907,0.0,0.0,0.0,1.0
-1.2224712260502315,-1.6840399920462907,0.0,0.0,0.0,1.0
-1.2224712260502315,-1.6942320985125399,0.0,0.0,0.0,1.0
-1.2326603764535236,-1.7248084179112873,0.0,0.0,0.0,1.0
-1.2530386772601059,-1.7859610567087802,0.0,0.0,0.0,1.0
-1.2988898540749148,-1.8827860681381452,0.0,0.0,0.0,1.0
-1.3651193316963077,-1.9999952925000084,0.0,0.0,0.0,1.0
-1.4415379597209927,-2.112108463628747,0.0,0.0,0.0,1.0
-1.5026728621407397,-2.2038374218249874,0.0,0.0,0.0,1.0
-1.5485240389555486,-2.254797954156233,0.0,0.0,0.0,1.0
-1.579091490165423,-2.264990060622482,0.0,0.0,0.0,1.0
-1.5994697909720053,-2.2497019009231085,0.0,0.0,0.0,1.0
-1.6147535165769415,-2.2242216347574857,0.0,0.0,0.0,1.0
-1.6198480917785876,-2.1885492621256137,0.0,0.0,0.0,1.0
-1.6045643661736513,-2.1324926765612453,0.0,0.0,0.0,1.0
-1.5638077645604866,-2.076436090996875,0.0,0.0,0.0,1.0
-1.5026728621407397,-2.015283452199382,0.0,0.0,0.0,1.0
-1.4211596589144104,-1.9643229198681382,0.0,0.0,0.0,1.0
-1.3447410308897254,-1.9337466004693908,0.0,0.0,0.0,1.0
-1.2836061284699785,-1.9184584407700171,0.0,0.0,0.0,1.0
-1.2479441020584598,-1.9184584407700171,0.0,0.0,0.0,1.0
-1.2173766508485855,-1.9133623875368926,0.0,0.0,0.0,1.0
-1.2020929252436492,-1.9031702810706435,0.0,0.0,0.0,1.0
-1.2020929252436492,-1.8878821213712698,0.0,0.0,0.0,1.0
-1.2275658012518775,-1.8929781746043943,0.0,0.0,0.0,1.0
-1.2887007036716245,-1.9286505472362663,0.0,0.0,0.0,1.0
-1.3702139068979537,-1.9898031860337593,0.0,0.0,0.0,1.0
-1.461916260527575,-2.076436090996875,0.0,0.0,0.0,1.0
-1.5434294637539043,-2.1681650491931173,0.0,0.0,0.0,1.0
-1.6045643661736513,-2.244605847689984,0.0,0.0,0.0,1.0
-1.64022639258517,-2.3006624332543524,0.0,0.0,0.0,1.0
-1.6555101181901062,-2.3363348058862243,0.0,0.0,0.0,1.0
-1.6606046933917522,-2.341430859119349,0.0,0.0,0.0,1.0
